Round,Pick,Player,Position,Nationality,Team,School/club team,Traded to a different team,Status
1,1,Mychal Thompson,F/C,Bahamas,Portland Trail Blazers,Minnesota,Yes,College Senior
1,2,Phil Fordx,G,United States,Kansas City Kings,North Carolina,Yes,College Senior
1,3,Rick Robey,F/C,United States,Indiana Pacers,Kentucky,Yes,College Senior
1,4,Micheal Ray Richardson,G/F,United States,New York Knicks,Montana,Yes,College Senior
1,5,Purvis Short,G/F,United States,Golden State Warriors,Jackson State,Yes,College Senior
1,6,Larry Bird^,F,United States,Boston Celtics,Indiana State,No,College Junior
1,7,Ron Brewer,G,United States,Portland Trail Blazers,Arkansas,Yes,College Senior
1,8,Freeman Williams,G/F,United States,Boston Celtics,Portland State,Yes,College Senior
1,9,Reggie Theus,G,United States,Chicago Bulls,UNLV,No,College Junior
1,10,Butch Lee,G,Puerto Rico,Atlanta Hawks,Marquette,No,College Senior
1,11,James Hardy,F/C,United States,New Orleans Jazz,San Francisco,Yes,College Freshman
1,12,George Johnson,F/C,United States,Milwaukee Bucks,St. John's,Yes,College Senior
1,13,Winford Boynes,G/F,United States,New Jersey Nets,San Francisco,Yes,College Freshman
1,14,Roger Phegley,G/F,United States,Washington Bullets,Bradley,No,College Senior
1,15,Mike Mitchell,F,United States,Cleveland Cavaliers,Auburn,Yes,College Senior
1,16,Jack Givens,G/F,United States,Atlanta Hawks,Kentucky,Yes,College Senior
1,17,Rod Griffin,F,United States,Denver Nuggets,Wake Forest,Yes,College Senior
1,18,Dave Corzine,C,United States,Washington Bullets,DePaul,Yes,College Senior
1,19,Marty Byrnes,F,United States,Phoenix Suns,Syracuse,No,College Senior
1,20,Frankie Sanders,G/F,United States,San Antonio Spurs,Southern,No,College Sophmore
1,21,Mike Evans,G,United States,Denver Nuggets,Kansas State,Yes,College Senior
1,22,Raymond Townsend,G,United States,Golden State Warriors,UCLA,Yes,College Senior
2,23,Terry Tyler,G/F,United States,Detroit Pistons,Detroit,Yes,College Senior
2,24,Keith Herron,G/F,United States,Portland Trail Blazers,Villanova,Yes,College Senior
2,25,Rick Wilson,G,United States,Atlanta Hawks,Louisville,Yes,College Senior
2,26,Ron Carter,G,United States,Los Angeles Lakers,VMI,Yes,College Senior
2,27,Wayne Radford,G,United States,Indiana Pacers,Indiana,No,College Senior
2,28,Buster Matheney,F,United States,Houston Rockets,Utah,Yes,College Senior
2,29,John Long,G/F,United States,Detroit Pistons,Detroit,No,College Senior
2,30,Jeff Judkins,G/F,United States,Boston Celtics,Utah,Yes,College Senior
2,31,Marvin Johnson,F,United States,Chicago Bulls,New Mexico,No,College Senior
2,32,John Rudd,F,United States,New York Knicks,McNeese State,Yes,College Senior
2,33,Harry Davis,F,United States,Cleveland Cavaliers,Florida State,No,College Senior
2,34,Greg Bunch,F,United States,New York Knicks,Cal State Fullerton,No,College Senior
2,35,Tommie Green,G,United States,New Orleans Jazz,Southern,Yes,College Sophmore
2,36,Maurice Cheeks^,G,United States,Philadelphia 76ers,West Texas State,Yes,College Senior
2,37,Terry Sykes,F,United States,Washington Bullets,Grambling State,No,College Senior
2,38,Lew Massey,G,United States,Los Angeles Lakers,UNC Charlotte,No,College Senior
2,39,James Lee,F,United States,Seattle SuperSonics,Kentucky,No,College Senior
2,40,Wayne Cooper,F/C,United States,Golden State Warriors,New Orleans,Yes,College Senior
2,41,Jerome Whitehead,F/C,United States,Buffalo Braves,Marquette,Yes,College Senior
2,42,Keven McDonald,F,United States,Seattle SuperSonics,Pennsylvania,Yes,College Senior
