round,pick,player,position,nationality,team,school/club team,Traded to a different team,Status,Draft year
2,51,Tony Smith,SG/PG,United States,Los Angeles Lakers,Marquette,Yes,College Senior,1990
2,52,Stefano Rusconi,PF/C,Italy,Cleveland Cavaliers,Ranger Varese (Italy),No,Playing Internationally,1990
2,53,Abdul Shamsid-Deen,C,United States,Seattle SuperSonics,Providence,No,College Senior,1990
2,54,Sean Higgins,SG/SF,United States,San Antonio Spurs,Michigan,Yes,College Junior,1990
1,1,Larry Johnson,PF,United States,Charlotte Hornets,UNLV,No,College Senior,1991
1,2,Kenny Anderson,PG,United States,New Jersey Nets,Georgia Tech,No,College Sophmore,1991
1,3,Billy Owens,SF,United States,Sacramento Kings,Syracuse,Yes,College Junior,1991
1,4,Dikembe Mutombo^,C,Zaire,Denver Nuggets,Georgetown,No,College Senior,1991
1,5,Steve Smith,SG,United States,Miami Heat,Michigan State,No,College Senior,1991
1,6,Doug Smith,PF,United States,Dallas Mavericks,Missouri,No,College Senior,1991
1,7,Luc Longley,C,Australia,Minnesota Timberwolves,New Mexico,No,College Senior,1991
1,8,Mark Macon,SG,United States,Denver Nuggets,Temple,Yes,College Senior,1991
1,9,Stacey Augmon,SG/SF,United States,Atlanta Hawks,UNLV,Yes,College Senior,1991
1,10,Brian Williams,PF/C,United States,Orlando Magic,Arizona,No,College Junior,1991
1,11,Terrell Brandon,PG,United States,Cleveland Cavaliers,Oregon,No,College Junior,1991
1,12,Greg Anthony,PG,United States,New York Knicks,UNLV,No,College Senior,1991
1,13,Dale Davis,PF,United States,Indiana Pacers,Clemson,No,College Senior,1991
1,14,Rich King,C,United States,Seattle SuperSonics,Nebraska,No,College Senior,1991
1,15,Anthony Avent,PF,United States,Atlanta Hawks,Seton Hall,No,College Senior,1991
1,16,Chris Gatling,PF,United States,Golden State Warriors,Old Dominion,Yes,College Senior,1991
1,17,Victor Alexander,C,United States,Golden State Warriors,Iowa State,No,College Senior,1991
1,18,Kevin Brooks,SF,United States,Milwaukee Bucks,Southwestern Louisiana,No,College Sophmore,1991
1,19,LaBradford Smith,SG,United States,Washington Bullets,Louisville,Yes,College Senior,1991
1,20,John Turner,PF,United States,Houston Rockets,Phillips,No,College Senior,1991
1,21,Eric Murdock,PG,United States,Utah Jazz,Providence,No,College Senior,1991
1,22,LeRon Ellis,PF,United States,Los Angeles Clippers,Syracuse,Yes,College Senior,1991
1,23,Stanley Roberts,C,United States,Orlando Magic,Real Madrid (Spain),Yes,Playing Internationally,1991
1,24,Rick Fox,SF,Canada,Boston Celtics,North Carolina,No,College Senior,1991
1,25,Shaun Vandiver,PF,United States,Golden State Warriors,Colorado,Yes,College Senior,1991
1,26,Mark Randall,PF,United States,Chicago Bulls,Kansas,No,College Senior,1991
1,27,Pete Chilcutt,PF,United States,Sacramento Kings,North Carolina,Yes,College Senior,1991
2,28,Kevin Lynch,G/F,United States,Charlotte Hornets,Minnesota,Yes,College Senior,1991
2,29,George Ackles,C/PF,United States,Miami Heat,UNLV,No,College Senior,1991
2,30,Rodney Monroe,G/F,United States,Atlanta Hawks,NC State,Yes,College Senior,1991
2,31,Randy Brown,PG,United States,Sacramento Kings,New Mexico State,Yes,College Senior,1991
2,32,Chad Gallagher,C,United States,Phoenix Suns,Creighton,Yes,College Senior,1991
2,33,Donald Hodge,C,United States,Dallas Mavericks,Temple,No,College Junior,1991
2,34,Myron Brown,G,United States,Minnesota Timberwolves,Slippery Rock,No,College Senior,1991
2,35,Mike Iuzzolino,G,United States,Dallas Mavericks,Saint Francis,Yes,College Freshman,1991
2,36,Chris Corchiani,G,United States,Orlando Magic,NC State,No,College Senior,1991
2,37,Elliot Perry,PG,United States,Los Angeles Clippers,Memphis State,No,College Senior,1991
2,38,Joe Wylie,PF,United States,Los Angeles Clippers,Miami,Yes,College Senior,1991
2,39,Jimmy Oliver,G/F,United States,Cleveland Cavaliers,Purdue,Yes,College Senior,1991
2,40,Doug Overton,PG,United States,Detroit Pistons,La Salle,Yes,College Senior,1991
2,41,Sean Green,F/G,United States,Indiana Pacers,Iona,No,College Senior,1991
2,42,Steve Hood,SF,United States,Sacramento Kings,James Madison,Yes,College Senior,1991
2,43,Lamont Strothers,G,United States,Golden State Warriors,Christopher Newport,No,College Senior,1991
2,44,Álvaro Teherán,C,Colombia,Philadelphia 76ers,Houston,No,College Senior,1991
