Round,Pick,Player,Position,Nationality,Team,School/club team,Traded to a different team,Status
1,1,Mark Aguirre,G/F,United States,Dallas Mavericks,DePaul,No,College Junior
1,2,Isiah Thomas^,G,United States,Detroit Pistons,Indiana,No,College Sophmore
1,3,Buck Williams,F/C,United States,New Jersey Nets,Maryland,No,College Junior
1,4,Al Wood,G/F,United States,Atlanta Hawks,North Carolina,Yes,College Senior
1,5,Danny Vranes,F,United States,Seattle SuperSonics,Utah,Yes,College Senior
1,6,Orlando Woolridge,F,United States,Chicago Bulls,Notre Dame,Yes,College Senior
1,7,Steve Johnson,F/C,United States,Kansas City Kings,Oregon State,Yes,College Senior
1,8,Tom Chambers,F/C,United States,San Diego Clippers,Utah,No,College Senior
1,9,Rolando Blackman,G,Panama,Dallas Mavericks,Kansas State,Yes,College Senior
1,10,Albert King,G/F,United States,New Jersey Nets,Maryland,Yes,College Senior
1,11,Frank Johnson,G,United States,Washington Bullets,Wake Forest,No,College Senior
1,12,Kelly Tripucka,G/F,United States,Detroit Pistons,Notre Dame,Yes,College Senior
1,13,Danny Schayes,F/C,United States,Utah Jazz,Syracuse,Yes,College Senior
1,14,Herb Williams,F/C,United States,Indiana Pacers,Ohio State,No,College Senior
1,15,Jeff Lamp,G/F,United States,Portland Trail Blazers,Virginia,No,College Senior
1,16,Darnell Valentine,G,United States,Portland Trail Blazers,Kansas,Yes,College Senior
1,17,Kevin Loder,G/F,United States,Kansas City Kings,Alabama State,Yes,College Senior
1,18,Ray Tolbert,F,United States,New Jersey Nets,Indiana,Yes,College Senior
1,19,Mike McGee,G/F,United States,Los Angeles Lakers,Michigan,No,College Senior
1,20,Larry Nance,F/C,United States,Phoenix Suns,Clemson,No,College Senior
1,21,Alton Lister,F/C,United States,Milwaukee Bucks,Arizona State,No,College Senior
1,22,Franklin Edwards,G,United States,Philadelphia 76ers,Cleveland State,No,College Senior
1,23,Charles Bradley,G,United States,Boston Celtics,Wyoming,No,College Senior
2,24,Jay Vincent,F,United States,Dallas Mavericks,Michigan State,No,College Senior
2,25,Tracy Jackson,G/F,United States,Boston Celtics,Notre Dame,Yes,College Senior
